timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722933785,4738,Shops,200,OK,Thread Group 1-19,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722933785,73,Shops-0,308,Permanent Redirect,Thread Group 1-19,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722933859,4664,Shops-1,200,OK,Thread Group 1-19,text,true,,199703,119,30,30,https://evaly.com.bd/shops,183,0,0
1699722933840,4782,Shops,200,OK,Thread Group 1-1,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722933840,73,Shops-0,308,Permanent Redirect,Thread Group 1-1,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722933914,4708,Shops-1,200,OK,Thread Group 1-1,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1223,0,0
1699722933255,5403,Shops,200,OK,Thread Group 1-2,text,true,,200056,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722933255,74,Shops-0,308,Permanent Redirect,Thread Group 1-2,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722933329,5329,Shops-1,200,OK,Thread Group 1-2,text,true,,199712,119,30,30,https://evaly.com.bd/shops,759,0,0
1699722934658,4048,Shops,200,OK,Thread Group 1-29,text,true,,200047,239,30,30,https://evaly.com.bd/shops,75,0,0
1699722934658,75,Shops-0,308,Permanent Redirect,Thread Group 1-29,text,true,,344,120,30,30,http://evaly.com.bd/shops/,75,0,0
1699722934733,3973,Shops-1,200,OK,Thread Group 1-29,text,true,,199703,119,30,30,https://evaly.com.bd/shops,142,0,0
1699722933497,5337,Shops,200,OK,Thread Group 1-10,text,true,,200056,239,30,30,https://evaly.com.bd/shops,74,0,0
1699722933497,74,Shops-0,308,Permanent Redirect,Thread Group 1-10,text,true,,344,120,30,30,http://evaly.com.bd/shops/,74,0,0
1699722933571,5263,Shops-1,200,OK,Thread Group 1-10,text,true,,199712,119,30,30,https://evaly.com.bd/shops,261,0,0
1699722934172,4846,Shops,200,OK,Thread Group 1-9,text,true,,200051,239,30,30,https://evaly.com.bd/shops,76,0,0
1699722934172,76,Shops-0,308,Permanent Redirect,Thread Group 1-9,text,true,,344,120,30,30,http://evaly.com.bd/shops/,76,0,0
1699722934248,4770,Shops-1,200,OK,Thread Group 1-9,text,true,,199707,119,30,30,https://evaly.com.bd/shops,1129,0,0
1699722935647,3606,Shops,200,OK,Thread Group 1-18,text,true,,200045,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722935647,73,Shops-0,308,Permanent Redirect,Thread Group 1-18,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722935721,3532,Shops-1,200,OK,Thread Group 1-18,text,true,,199701,119,30,30,https://evaly.com.bd/shops,620,0,0
1699722935520,3841,Shops,200,OK,Thread Group 1-14,text,true,,200050,239,30,30,https://evaly.com.bd/shops,74,0,0
1699722935520,74,Shops-0,308,Permanent Redirect,Thread Group 1-14,text,true,,344,120,30,30,http://evaly.com.bd/shops/,74,0,0
1699722935595,3766,Shops-1,200,OK,Thread Group 1-14,text,true,,199706,119,30,30,https://evaly.com.bd/shops,739,0,0
1699722934094,5477,Shops,200,OK,Thread Group 1-11,text,true,,200047,239,30,30,https://evaly.com.bd/shops,76,0,0
